Result of exercise 4.1-3
==================================
|number of |divide    |brute     |
|elements  |conquer   |force     |
|----------|----------|----------|
|1         |0.00000   |0.00000   |
|2         |0.00000   |0.00000   |
|3         |0.0160000 |0.00000   |
|4         |0.00000   |0.00000   |
|5         |0.0150000 |0.00000   |
|6         |0.0160000 |0.00000   |
|7         |0.0160000 |0.0150000 |
|8         |0.0160000 |0.00000   |
|9         |0.0150000 |0.0160000 |
|10        |0.0160000 |0.0150000 |
|11        |0.0310000 |0.0160000 |
|12        |0.0160000 |0.0150000 |
|13        |0.0310000 |0.0160000 |
|14        |0.0310000 |0.0310000 |
|15        |0.0320000 |0.0150000 |
|16        |0.0310000 |0.0320000 |
|17        |0.0460000 |0.0320000 |
|18        |0.0310000 |0.0310000 |
|19        |0.0470000 |0.0470000 |
|20        |0.0460000 |0.0320000 |
|21        |0.0460000 |0.0470000 |
|22        |0.0630000 |0.0460000 |
|23        |0.0470000 |0.0470000 |
|24        |0.0620000 |0.0470000 |
|25        |0.0630000 |0.0620000 |
|26        |0.0620000 |0.0630000 |
|27        |0.0780000 |0.0620000 |
|28        |0.0630000 |0.0780000 |
|29        |0.0780000 |0.0780000 |
|30        |0.0620000 |0.0940000 |
|31        |0.0780000 |0.0930000 |
|32        |0.0780000 |0.0940000 |
|33        |0.109000  |0.0940000 |
|34        |0.0930000 |0.0940000 |<------crossover point
|35        |0.0930000 |0.110000  |
|36        |0.0930000 |0.109000  |
|37        |0.0940000 |0.125000  |
|38        |0.0930000 |0.141000  |
|39        |0.0930000 |0.141000  |
|40        |0.109000  |0.140000  |
|41        |0.110000  |0.156000  |
|42        |0.109000  |0.156000  |
|43        |0.109000  |0.156000  |
|44        |0.125000  |0.218000  |
|45        |0.125000  |0.203000  |
|46        |0.125000  |0.202000  |
|47        |0.125000  |0.203000  |
|48        |0.125000  |0.203000  |
|49        |0.124000  |0.219000  |
|50        |0.125000  |0.218000  |
|51        |0.125000  |0.234000  |
|52        |0.140000  |0.234000  |
|53        |0.141000  |0.234000  |
|54        |0.156000  |0.249000  |
|55        |0.141000  |0.265000  |
|56        |0.156000  |0.265000  |
|57        |0.156000  |0.281000  |
|58        |0.156000  |0.281000  |
|59        |0.171000  |0.297000  |
|60        |0.156000  |0.312000  |
|61        |0.156000  |0.327000  |
|62        |0.156000  |0.328000  |
|63        |0.187000  |0.328000  |
|64        |0.171000  |0.343000  |
|65        |0.188000  |0.358000  |
|66        |0.172000  |0.374000  |
|67        |0.188000  |0.374000  |
|68        |0.187000  |0.390000  |
|69        |0.187000  |0.390000  |
|70        |0.203000  |0.406000  |
|71        |0.187000  |0.421000  |
|72        |0.203000  |0.437000  |
|73        |0.203000  |0.452000  |
|74        |0.187000  |0.468000  |
|75        |0.203000  |0.468000  |
|76        |0.218000  |0.484000  |
|77        |0.218000  |0.500000  |
|78        |0.218000  |0.499000  |
|79        |0.234000  |0.562000  |
|80        |0.218000  |0.546000  |
|81        |0.250000  |0.530000  |
|82        |0.234000  |0.546000  |
|83        |0.250000  |0.561000  |
|84        |0.234000  |0.593000  |
|85        |0.234000  |0.593000  |
|86        |0.234000  |0.608000  |
|87        |0.250000  |0.624000  |
|88        |0.250000  |0.639000  |
|89        |0.250000  |0.655000  |
|90        |0.250000  |0.670000  |
|91        |0.266000  |0.686000  |
|92        |0.250000  |0.702000  |
|93        |0.280000  |0.702000  |
|94        |0.250000  |0.733000  |
|95        |0.265000  |0.734000  |
|96        |0.280000  |0.749000  |
|97        |0.297000  |0.764000  |
|98        |0.312000  |0.780000  |
|99        |0.281000  |0.795000  |
==================================
